Player,Country,Mat,Inns,NO,Runs,HS,Ave,BF,SR,Hundreds,Fifties,0,Fours,Sixers
SA Yadav ,IND,20,19,3,857,112,53.56,531,161.39,3,5,0,73,51
FH Allen ,NZ,20,20,0,542,137,27.1,335,161.79,1,2,1,39,43
MS Chapman ,NZ,27,24,8,528,104,33,378,139.68,1,2,2,48,21
GD Phillips ,NZ,20,20,4,522,70,32.62,389,134.19,0,3,1,42,22
DJ Mitchell ,NZ,24,23,3,494,72,24.7,360,137.22,0,4,1,34,20
BKG Mendis ,SL,12,12,0,441,86,36.75,281,156.93,0,4,0,41,27
R Powell ,WI,16,15,3,422,63,35.16,245,172.24,0,2,0,24,32
N Pooran ,WI,16,16,0,421,82,26.31,266,158.27,0,2,0,26,32
BA King ,WI,15,15,2,406,85,31.23,289,140.48,0,3,2,40,22
PD Salt ,ENG,8,8,1,394,119,56.28,233,169.09,2,0,1,31,24
TL Seifert ,NZ,14,14,1,378,88,29.07,268,141.04,0,2,3,35,13
YBK Jaiswal ,IND,14,13,1,360,84,30,227,158.59,0,4,2,42,19
MR Marsh ,AUS,8,8,3,346,92,69.2,203,170.44,0,3,0,32,21
Mohammad Rizwan ,PAK,10,9,2,346,98,49.42,256,135.15,0,3,0,27,12
Babar Azam ,PAK,10,9,1,343,101,42.87,239,143.51,1,3,0,40,9
Shubman Gill ,IND,14,14,1,335,126,25.76,227,147.57,1,1,1,31,16
NT Tilak Varma ,IND,13,12,5,333,55,47.57,228,146.05,0,2,1,29,16
RR Hendricks ,SA,8,8,0,330,83,41.25,206,160.19,0,3,0,38,11
JC Buttler ,ENG,11,10,1,325,67,36.11,220,147.72,0,3,0,30,15
TH David ,AUS,14,13,6,322,64,46,185,174.05,0,1,1,26,21
TM Head ,AUS,9,9,0,311,91,34.55,187,166.31,0,1,0,40,16
GJ Maxwell ,AUS,8,8,2,309,120,51.5,157,196.81,2,0,0,29,21
Rahmanullah Gurbaz ,AFG,11,11,0,285,70,25.9,219,130.13,0,2,0,22,13
Mohammad Nabi ,AFG,11,11,4,281,54,40.14,219,128.31,0,1,0,18,12
RK Singh ,IND,12,9,6,281,69,93.66,166,169.27,0,2,0,27,13
Najmul Hossain Shanto ,BAN,11,10,3,272,53,38.85,226,120.35,0,2,0,27,5
RD Gaikwad ,IND,7,6,2,263,123,65.75,166,158.43,1,1,1,25,13
J Charles ,WI,10,10,0,260,118,26,148,175.67,1,0,1,21,21
Ishan Kishan ,IND,13,13,0,253,58,19.46,226,111.94,0,2,1,20,15
DP Conway ,NZ,13,12,0,252,63,21,212,118.86,0,3,1,26,5
Ibrahim Zadran ,AFG,11,11,1,250,67,25,234,106.83,0,2,0,23,4
JP Inglis ,AUS,12,12,2,250,110,25,153,163.39,1,0,0,22,15
KIC Asalanka ,SL,11,11,1,244,67,24.4,169,144.37,0,1,0,6,23
AK Markram ,SA,8,8,2,239,49,39.83,147,162.58,0,0,0,25,8
Litton Das ,BAN,9,9,1,231,73,28.87,205,112.68,0,1,1,29,3
HH Pandya ,IND,13,12,3,231,30,25.66,201,114.92,0,0,0,18,8
KR Mayers ,WI,13,13,0,217,51,16.69,137,158.39,0,1,1,19,17
AD Russell ,WI,8,8,2,214,71,35.66,109,196.33,0,2,0,13,19
SD Hope ,WI,9,9,2,205,45,29.28,155,132.25,0,0,1,14,10
MD Shanaka ,SL,12,10,2,205,56,25.62,124,165.32,0,1,0,13,14
DA Warner ,AUS,4,4,0,205,81,51.25,124,165.32,0,2,0,25,8
Iftikhar Ahmed ,PAK,11,10,1,204,60,22.66,142,143.66,0,1,1,8,15
TWM Latham ,NZ,8,8,1,194,64,27.71,171,113.45,0,1,1,20,3
LS Livingstone ,ENG,9,8,2,194,54,32.33,126,153.96,0,1,0,7,15
Gulbadin Naib ,AFG,9,8,3,192,57,38.4,131,146.56,0,2,1,13,14
Fakhar Zaman ,PAK,9,8,0,190,50,23.75,133,142.85,0,1,1,11,14
AR Patel ,IND,15,9,2,190,65,27.14,121,157.02,0,1,1,13,10
MW Short ,AUS,9,8,0,183,66,22.87,104,175.96,0,1,1,20,9
Towhid Hridoy ,BAN,11,9,2,182,47,26,151,120.52,0,0,1,12,7
PW Hasaranga ,SL,10,10,2,177,67,22.12,101,175.24,0,1,1,13,11
