Player,Country,Mat,Inns,Overs,Maidens,Runs Conceeded,Wickets,BBI,Average,Economy,SR,4wkt haul,5-wkt haul
Arshdeep Singh ,IND,22,22,71.4,1,655,29,4/37,22.58,9.13,14.8,1,0
AF Milne ,NZ,20,18,66,1,634,26,5/26,24.38,9.6,15.2,1,1
IS Sodhi ,NZ,25,23,78.4,0,628,23,3/33,27.3,7.98,20.5,0,0
TG Southee ,NZ,15,14,53,1,436,22,4/25,19.81,8.22,14.4,1,0
AS Joseph ,WI,12,12,44.3,0,452,19,5/40,23.78,10.15,14,0,1
Haris Rauf ,PAK,9,9,34.3,0,311,18,4/18,17.27,9.01,11.5,2,0
MJ Santner ,NZ,19,18,64,1,467,18,4/16,25.94,7.29,21.3,1,0
R Shepherd ,WI,12,12,42.5,0,410,16,4/31,25.62,9.57,16,1,0
LH Ferguson ,NZ,12,12,40.5,1,342,15,4/12,22.8,8.37,16.3,1,0
JO Holder ,WI,14,14,54.3,1,536,15,2/19,35.73,9.83,21.8,0,0
Kuldeep Yadav ,IND,10,10,33.5,0,215,15,5/17,14.33,6.35,13.5,0,1
AR Patel ,IND,15,14,49,0,331,15,3/16,22.06,6.75,19.6,0,0
Shaheen Shah Afridi ,PAK,10,10,37.2,0,330,15,3/34,22,8.83,14.9,0,0
AU Rashid ,ENG,12,12,45,0,320,14,2/11,22.85,7.11,19.2,0,0
MJ Henry ,NZ,11,10,39,0,305,13,3/32,23.46,7.82,18,0,0
AJ Hosein ,WI,15,15,54,0,456,13,2/20,35.07,8.44,24.9,0,0
Ravi Bishnoi ,IND,11,11,43,0,345,13,3/32,26.53,8.02,19.8,0,0
Mukesh Kumar ,IND,14,14,43.5,0,412,12,3/32,34.33,9.39,21.9,0,0
Taskin Ahmed ,BAN,8,8,32,0,253,12,3/33,21.08,7.9,16,0,0
JP Behrendorff ,AUS,8,8,31,2,256,11,2/25,23.27,8.25,16.9,0,0
YS Chahal ,IND,11,11,36,1,314,11,2/19,28.54,8.72,19.6,0,0
Fazalhaq Farooqi ,AFG,9,9,33.4,1,222,11,3/25,20.18,6.59,18.3,0,0
PW Hasaranga ,SL,10,10,38,0,298,11,2/19,27.09,7.84,20.7,0,0
HH Pandya ,IND,13,11,35,0,255,11,4/16,23.18,7.28,19,1,0
M Pathirana ,SL,5,5,18.4,0,172,11,4/24,15.63,9.21,10.1,1,0
MP Stoinis ,AUS,8,6,20,0,176,11,3/18,16,8.8,10.9,0,0
SA Abbott ,AUS,6,6,20.5,1,210,10,4/31,21,10.08,12.5,1,0
Azmatullah Omarzai ,AFG,11,9,32,0,283,10,2/17,28.3,8.84,19.2,0,0
Imad Wasim ,PAK,8,8,22,1,124,10,3/19,12.4,5.63,13.2,0,0
Karim Janat ,AFG,14,10,22,0,198,10,3/15,19.8,9,13.2,0,0
Mustafizur Rahman ,BAN,11,11,40,0,303,10,2/15,30.3,7.57,24,0,0
AD Russell ,WI,8,8,27.5,0,309,10,3/19,30.9,11.1,16.7,0,0
T Sangha ,AUS,7,7,28,0,249,10,4/31,24.9,8.89,16.8,1,0
BV Sears ,NZ,7,6,22,0,185,10,2/28,18.5,8.4,13.2,0,0
MD Shanaka ,SL,12,9,15.5,0,150,10,2/4,15,9.47,9.5,0,0
A Zampa ,AUS,8,8,29,0,301,10,4/34,30.1,10.37,17.4,1,0
Rehan Ahmed ,ENG,7,7,24,0,228,9,3/39,25.33,9.5,16,0,0
NT Ellis ,AUS,9,9,31,1,280,9,3/25,31.11,9.03,20.6,0,0
Fareed Ahmad ,AFG,7,6,17,0,128,9,3/15,14.22,7.52,11.3,0,0
Mujeeb Ur Rahman ,AFG,7,7,24,1,159,9,2/9,17.66,6.62,16,0,0
JDS Neesham ,NZ,12,9,24,0,234,9,3/38,26,9.75,16,0,0
Shoriful Islam ,BAN,7,7,24.4,1,184,9,3/26,20.44,7.45,16.4,0,0
N Thushara ,SL,3,3,11,1,85,9,5/20,9.44,7.72,7.3,1,1
Umran Malik ,IND,5,5,14.1,0,131,9,3/48,14.55,9.24,9.4,0,0
Washington Sundar ,IND,9,8,25,0,169,9,3/18,18.77,6.76,16.6,0,0
SM Curran ,ENG,11,11,29.1,0,267,8,2/25,33.37,9.15,21.8,0,0
BG Lister ,NZ,7,7,25.5,0,230,7,2/26,32.85,8.9,22.1,0,0
Mohammad Nabi ,AFG,11,7,19,0,166,7,2/12,23.71,8.73,16.2,0,0
Mohammed Siraj ,IND,4,4,14,2,81,7,4/17,11.57,5.78,12,1,0
Shakib Al Hasan ,BAN,5,5,18,0,111,7,2/15,15.85,6.16,15.4,0,0
