Team 1,Team 2,Winner,Margin,Ground,1st Innings,2nd Innings
Trinbago,Amazon,Amazon,9 wickets,"Providence,Guyana",94,99
Amazon,Tallawahs,Amazon,81 runs,"Providence,Guyana",182,101
Amazon,Trinbago,Trinbago,7 wickets,"Providence,Guyana",166,167
Kings,Tallawahs,Tallawahs,5 wickets,"Providence,Guyana",125,126
Royals,Amazon,Amazon,88 runs,"Providence,Guyana",226,138
Tallawahs,Kings,Tallawahs,122 runs,"Providence,Guyana",201,79
Amazon,Trinbago,Amazon,6 wickets,"Providence,Guyana",176,177
Tallawahs,Patriots,Tallawahs,59 runs,"Providence,Guyana",178,119
Amazon,Kings,Kings,7 wickets,"Providence,Guyana",167,170
Amazon,Tallawahs,Amazon,7 wickets,"Providence,Guyana",152,155
Kings,Trinbago,Trinbago,7 wickets,"Tarouba,Trinidad",167,169
Royals,Amazon,Amazon,3 runs,"Tarouba,Trinidad",181,178
Tallawahs,Trinbago,Trinbago,7 wickets,"Tarouba,Trinidad",154,155
Kings,Patriots,Patriots,4 wickets,"Tarouba,Trinidad",149,150
Royals,Trinbago,Trinbago,42 runs,"Port of Spain,Trinidad",208,166
Amazon,Trinbago,Amazon,6 wickets,"Port of Spain,Trinidad",172,175
Royals,Patriots,Royals,8 wickets,"Bridgetown,Barbados",220,223
Tallawahs,Trinbago,Trinbago,2 runs,"Bridgetown,Barbados",142,140
Royals,Kings,Kings,90 runs,"Bridgetown,Barbados",195,105
Amazon,Patriots,Amazon,98 runs,"Bridgetown,Barbados",186,88
Royals,Tallawahs,Royals,6 wickets,"Bridgetown,Barbados",160,161
Royals,Trinbago,Trinbago,133 runs,"Bridgetown,Barbados",194,61
Patriots,Trinbago,Trinbago,6 wickets,"Basseterre,St.Kitts",178,180
Amazon,Tallawahs,Amazon,34 runs,"Basseterre,St.Kitts",210,176
Royals,Patriots,Royals,6 wickets,"Basseterre,St.Kitts",197,200
Kings,Trinbago,Kings,54 runs,"Basseterre,St.Kitts",167,113
Amazon,Patriots,Amazon,65 runs,"Basseterre,St.Kitts",197,132
Tallawahs,Patriots,Tallawahs,8 wickets,"Basseterre,St.Kitts",156,157
Tallawahs,Kings,Tallawahs,11 runs,"GrosIslet,St Lucia",187,176
