Player,Country,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,D/I
N Pooran ,WI,16,16,14,12,2,12,0,0.875
Litton Das ,BAN,9,9,12,9,3,9,0,1.333
GD Phillips ,NZ,20,19,12,12,0,0,12,0.631
TL Seifert ,NZ,14,13,12,12,0,10,2,0.923
IS Sodhi ,NZ,25,23,12,12,0,0,12,0.521
SA Yadav ,IND,20,20,12,12,0,0,12,0.6
DJ Mitchell ,NZ,24,22,11,11,0,0,11,0.5
TG Southee ,NZ,15,14,11,11,0,0,11,0.785
JC Buttler ,ENG,11,11,10,9,1,6,3,0.909
YBK Jaiswal ,IND,14,14,10,10,0,0,10,0.714
JDS Neesham ,NZ,12,11,10,10,0,0,10,0.909
R Powell ,WI,16,16,10,10,0,0,10,0.625
MS Chapman ,NZ,27,25,9,9,0,0,9,0.36
DP Conway ,NZ,13,13,9,7,2,6,1,0.692
Najmul Hossain Shanto ,BAN,11,11,9,9,0,0,9,0.818
Rahmanullah Gurbaz ,AFG,11,11,9,8,1,8,0,0.818
FH Allen ,NZ,20,19,8,8,0,0,8,0.421
Arshdeep Singh ,IND,22,22,8,8,0,0,8,0.363
HC Brook ,ENG,9,9,8,8,0,0,8,0.888
TH David ,AUS,14,14,8,8,0,0,8,0.571
DM de Silva ,SL,9,9,8,8,0,0,8,0.888
Ishan Kishan ,IND,13,13,8,7,1,5,2,0.615
TWM Latham ,NZ,8,7,8,7,1,7,0,1.142
BKG Mendis ,SL,12,12,8,8,0,8,0,0.666
Saim Ayub ,PAK,12,12,8,8,0,0,8,0.666
NT Tilak Varma ,IND,13,13,8,8,0,0,8,0.615
MS Wade ,AUS,10,10,8,8,0,8,0,0.8
SM Curran ,ENG,11,11,7,7,0,0,7,0.636
Fakhar Zaman ,PAK,9,9,7,7,0,0,7,0.777
PW Hasaranga ,SL,10,10,7,7,0,0,7,0.7
SO Hetmyer ,WI,7,7,7,7,0,0,7,1
Ibrahim Zadran ,AFG,11,11,7,7,0,0,7,0.636
JP Inglis ,AUS,12,12,7,6,1,3,3,0.583
SV Samson ,IND,7,7,7,5,2,2,3,1
MJ Santner ,NZ,19,18,7,7,0,0,7,0.388
SA Abbott ,AUS,6,6,6,6,0,0,6,1
KIC Asalanka ,SL,11,11,6,6,0,0,6,0.545
Mohammad Nabi ,AFG,11,11,6,6,0,0,6,0.545
Qais Ahmad ,AFG,6,5,6,6,0,0,6,1.2
R Ravindra ,NZ,11,10,6,6,0,0,6,0.6
MD Shanaka ,SL,12,12,6,6,0,0,6,0.5
RK Singh ,IND,12,12,6,6,0,0,6,0.5
Soumya Sarkar ,BAN,6,6,6,6,0,0,6,1
J Charles ,WI,10,10,5,5,0,1,4,0.5
Q de Kock ,SA,3,3,5,5,0,5,0,1.666
LH Ferguson ,NZ,12,12,5,5,0,0,5,0.416
RR Hendricks ,SA,8,8,5,5,0,0,5,0.625
AS Joseph ,WI,12,12,5,5,0,0,5,0.416
BA King ,WI,15,15,5,5,0,0,5,0.333
MR Marsh ,AUS,8,8,5,5,0,0,5,0.625
